#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 06 20 03 30  74  6.9  9.8 99.00 99.00 99.00 999 9999.0   6.4   3.1   4.6 99.0 99.00
2014 06 20 03 40  72  6.7  8.4 99.00 99.00 99.00 999 9999.0   6.3   3.1   4.5 99.0 99.00
2014 06 20 03 50  50  5.1  8.2 99.00 99.00 99.00 999 9999.0   6.1   3.1   4.4 99.0 99.00
2014 06 20 04 00  35  2.8  4.3 99.00 99.00 99.00 999 9999.0   5.8   3.1   4.4 99.0 99.00
2014 06 20 04 10  56  3.6  5.3 99.00 99.00 99.00 999 9999.0   6.0   3.1   4.4 99.0 99.00
2014 06 20 04 20  40  3.4  6.1 99.00 99.00 99.00 999 9999.0   5.7   3.1   4.3 99.0 99.00
2014 06 20 04 30 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   3.1 999.0 99.0 99.00
2014 06 20 04 40  66  2.8  4.0 99.00 99.00 99.00 999 9999.0   5.9   3.1   4.3 99.0 99.00
2014 06 20 04 50  42  1.3  2.9 99.00 99.00 99.00 999 9999.0   5.7   3.1   4.2 99.0 99.00
2014 06 20 05 00  91  1.1  1.8 99.00 99.00 99.00 999 9999.0   5.7   3.1   4.3 99.0 99.00
2014 06 20 05 10  11  1.0  2.9 99.00 99.00 99.00 999 9999.0   5.7   3.1   4.3 99.0 99.00
2014 06 20 05 20  78  0.7  1.4 99.00 99.00 99.00 999 9999.0   5.7   3.1   4.3 99.0 99.00
2014 06 20 05 30 289  1.0  2.2 99.00 99.00 99.00 999 9999.0   5.7   3.1   4.3 99.0 99.00
2014 06 20 05 40 237  0.8  1.6 99.00 99.00 99.00 999 9999.0   5.9   3.1   4.4 99.0 99.00
2014 06 20 05 50 248  0.7  1.7 99.00 99.00 99.00 999 9999.0   5.9   3.1   4.5 99.0 99.00
2014 06 20 06 00 274  0.6  1.5 99.00 99.00 99.00 999 9999.0   5.7   3.1   4.4 99.0 99.00
2014 06 20 06 10  75  0.9  1.8 99.00 99.00 99.00 999 9999.0   5.8   3.1   4.7 99.0 99.00
2014 06 20 06 20 317  0.9  1.6 99.00 99.00 99.00 999 9999.0   5.5   3.1   4.8 99.0 99.00
2014 06 20 06 30   0  0.7  1.1 99.00 99.00 99.00 999 9999.0   5.7   3.1   5.0 99.0 99.00
2014 06 20 06 40 208  1.4  3.0 99.00 99.00 99.00 999 9999.0   5.8   3.1   5.1 99.0 99.00
2014 06 20 06 50 195  2.2  2.7 99.00 99.00 99.00 999 9999.0   5.3   3.1   4.6 99.0 99.00
2014 06 20 07 00 191  1.6  2.3 99.00 99.00 99.00 999 9999.0   4.9   3.1   4.5 99.0 99.00
2014 06 20 07 10 235  1.9  3.1 99.00 99.00 99.00 999 9999.0   4.6   3.1   4.2 99.0 99.00
2014 06 20 07 20 223  2.7  3.9 99.00 99.00 99.00 999 9999.0   4.3   3.1   4.1 99.0 99.00
2014 06 20 07 30 223  2.2  3.6 99.00 99.00 99.00 999 9999.0   4.4   3.1   4.2 99.0 99.00
2014 06 20 07 40 233  2.3  3.6 99.00 99.00 99.00 999 9999.0   4.4   3.1   4.2 99.0 99.00
2014 06 20 07 50 233  2.5  3.3 99.00 99.00 99.00 999 9999.0   4.5   3.1   4.3 99.0 99.00
2014 06 20 08 00 235  2.9  3.9 99.00 99.00 99.00 999 9999.0   4.5   3.1   4.3 99.0 99.00
2014 06 20 08 10 239  2.0  3.2 99.00 99.00 99.00 999 9999.0   4.8   3.1   4.6 99.0 99.00
2014 06 20 08 20 231  1.8  2.8 99.00 99.00 99.00 999 9999.0   4.7   3.1   4.4 99.0 99.00
2014 06 20 08 30 231  1.5  3.1 99.00 99.00 99.00 999 9999.0   4.6   3.1   4.4 99.0 99.00
2014 06 20 08 40 218  0.9  1.8 99.00 99.00 99.00 999 9999.0   4.6   3.1   4.3 99.0 99.00
2014 06 20 08 50 227  1.3  2.5 99.00 99.00 99.00 999 9999.0   4.8   3.1   4.7 99.0 99.00
