#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 06 11 09 40  70  6.0   MM    MM    MM    MM  MM 1012.8   8.7   9.4   6.3   MM   MM    MM
2024 06 11 09 30  50  5.0   MM    MM    MM    MM  MM 1012.8   8.8   9.4   6.3   MM   MM    MM
2024 06 11 09 20  50  5.0   MM    MM    MM    MM  MM 1013.0   9.0   9.4   6.3   MM   MM    MM
2024 06 11 09 10  50  5.0   MM    MM    MM    MM  MM 1012.9   9.0   9.4   6.5   MM   MM    MM
2024 06 11 09 00  50  5.0   MM    MM    MM    MM  MM 1013.0   8.9   9.4   6.5   MM -1.0    MM
2024 06 11 08 50  70  5.0   MM    MM    MM    MM  MM 1012.9   8.9   9.5   6.5   MM   MM    MM
2024 06 11 08 40  60  5.0   MM    MM    MM    MM  MM 1013.0   8.8   9.4   6.5   MM   MM    MM
2024 06 11 08 30  50  5.0   MM    MM    MM    MM  MM 1013.2   8.7   9.4   6.3   MM   MM    MM
2024 06 11 08 20  50  4.0   MM    MM    MM    MM  MM 1013.3   8.5   9.4   6.3   MM   MM    MM
2024 06 11 08 10  50  5.0   MM    MM    MM    MM  MM 1013.6   8.6   9.4   6.5   MM   MM    MM
2024 06 11 08 00  40  5.0   MM    MM    MM    MM  MM 1013.6   8.6   9.4   6.5   MM -1.5    MM
2024 06 11 07 50  40  4.0   MM    MM    MM    MM  MM 1013.5   8.7   9.4   6.6   MM   MM    MM
2024 06 11 07 40  60  5.0   MM    MM    MM    MM  MM 1013.4   8.8   9.4   6.5   MM   MM    MM
2024 06 11 07 30  40  4.0   MM    MM    MM    MM  MM 1013.5   8.9   9.4   6.7   MM   MM    MM
2024 06 11 07 20  50  5.0   MM    MM    MM    MM  MM 1013.5   9.1   9.5   6.8   MM   MM    MM
2024 06 11 07 10  50  4.0   MM    MM    MM    MM  MM 1013.6   9.2   9.4   6.8   MM   MM    MM
2024 06 11 07 00  70  5.0   MM    MM    MM    MM  MM 1013.5   9.3   9.5   6.7   MM -1.2    MM
2024 06 11 06 50  60  5.0   MM    MM    MM    MM  MM 1013.6   9.4   9.5   6.7   MM   MM    MM
2024 06 11 06 40  60  5.0   MM    MM    MM    MM  MM 1013.7   9.5   9.6   6.8   MM   MM    MM
2024 06 11 06 30  70  5.0   MM    MM    MM    MM  MM 1013.9   9.5   9.6   6.9   MM   MM    MM
2024 06 11 06 20  70  5.0   MM    MM    MM    MM  MM 1013.9   9.5   9.7   6.8   MM   MM    MM
2024 06 11 06 10  70  5.0   MM    MM    MM    MM  MM 1014.1   9.5   9.7   7.0   MM   MM    MM
2024 06 11 06 00  70  5.0   MM    MM    MM    MM  MM 1014.0   9.6   9.8   6.9   MM -0.8    MM
